Question	Answer	Source
What are excluded businesses?	Businesses that are not eligible include passive real estate businesses (rental income, etc.).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Can I apply for a loan guarantee only if I am ineligible for federal disaster fund financing, such as a SBA loan?	Yes, this program is designed for those who do not qualify for federal programs. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How much can I borrow?	The Small Business Finance Center’s Disaster Relief Loan Guarantee Program allows a maximum loan of $1.25 million and a maximum guarantee of $1 million. To serve as many California small businesses as possible, the COVID-19 disaster program is focused on serving small businesses, especially those in low-wealth and immigrant communities with needs from $500 to $50,000. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What are the loan terms?	The length of the loan can be negotiated with your lender, but the guarantee is good for up to seven years. The interest rate and loan criteria will be determined by the lender and could depend on the credit strength of the business. The guarantee is designed to lower the interest rate in exchange for a higher guarantee to your lender. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How can I apply for a loan guarantee?	The Small Business Finance Center partners with Community Development Financial Institutions (CDFIs), Community Lending Institutions, and Financial Development Corporations (FDCs) to provide loan guarantees for small businesses.  To apply,\n\n*   View the [list of FDCs and participating lenders](http://www.ibank.ca.gov/small-business-finance-center/) interested in this Small Business Disaster Relief Loan Guarantee Program. \n*   Contact the lender on the list nearest to your business to apply.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What is the timing for the funding of loans?	The program is in place and businesses can apply immediately. Once you provide your lender with complete information, you could be funded in a matter of days.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What can the money be used for?	The funds are meant to help small businesses through this challenging time. Loan proceeds can be used for business continuance or to cure “economic injury” as a result of COVID-19.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How will this program assist low-wealth and minority communities?	By working with the Community Development Financial Institutions (CDFIs) throughout the state of California, this disaster relief program can play an important role in generating economic growth and opportunity in some of our most distressed communities. CDFIs and mission-based lenders play a vital role across the state and have experience steering lending and investment to where it is needed and will matter the most, in particular in low-wealth and immigrant communities. CDFIs and our partner Financial Development Corporations (FDCs) that process the loan guarantees are embedded in communities across the state, speak several languages, and are invested in the community successfully managing its way through this pandemic.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Are faith-based businesses eligible for this loan guarantee program?	Faith-based businesses (non-profit or otherwise) that have business activity outside of worship are eligible as long as they are a legal business that has been affected by the COVID-19 pandemic.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What SBA programs are available to small businesses right now?	The U.S. SBA offers the **Economic Injury Disaster Loan (EIDL)**.\n\nThe U.S. SBA is accepting new applications from all eligible businesses, and will continue to process **EIDL Loan applications** already submitted on a first come, first-served basis. Check the U.S. SBA’s [Disaster Loan Applications website](https://www.sba.gov/page/disaster-loan-applications#section-header-0) for more information.\n\nThe EIDL is a direct loan for up to $2 million at a rate of 3.75% for small businesses and 2.75% for nonprofits. [Apply directly with the SBA](https://covid19relief.sba.gov/#/). For questions, you can contact SBA’s Customer Service Line at [1-800-659-2955](tel:1-800-659-2955) / [1-800-877-8339](tel:1-800-877-8339) (TTY), or send an email to [disastercustomerservice@sba.gov](mailto:disastercustomerservice@sba.gov).\n\nThe **Economic Injury Disaster Loan (**EIDL) **Advance** has been [discontinued](https://www.sba.gov/page/disaster-loan-applications#section-header-0). EIDL loan applications will still be processed even though the Advance is no longer available.\n\nThe [**Paycheck Protection Program (PPP)**](https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/paycheck-protection-program#section-header-0) closed August 8, 2020. The U.S. SBA is no longer accepting PPP applications from approved lenders.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Where do I find more information on allowable expenses for a forgivable loan under the Paycheck Protection Program?	You can find this on the Paycheck Protection Program’s [Loan Forgiveness Application](https://www.sba.gov/sites/default/files/2020-06/PPP%20Loan%20Forgiveness%20Application%20%28Revised%206.16.2020%29-fillable_0-508.pdf). The application provides detailed [instructions](https://www.sba.gov/sites/default/files/2020-06/PPP%20Loan%20Forgiveness%20Application%20Instructions%20%28Revised%206.16.2020%29-508.pdf) on how to apply for forgiveness of PPP loans. Once your business has expended the PPP funds and is ready to pursue loan forgiveness, please review the Loan Forgiveness Application and consult with your accountant, lender, or one of California’s [small business centers](https://business.ca.gov/advantages/small-business-innovation-and-entrepreneurship/how-we-can-help/covid-19-resources-map/) for assistance. See SBA’s [loan details and forgiveness](https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/paycheck-protection-program#section-header-5) information, and check the [frequently asked questions](https://www.sba.gov/sites/default/files/2020-08/PPP%20--%20Loan%20Forgiveness%20FAQs%20%28August%2011%2C%202020%29.pdf) on PPP loan forgiveness.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How does a business know if it is eligible for an SBA loan or loan guarantee program?	Small businesses with 500 employees or less are eligible to apply for the Small Business Debt Relief Program. Small businesses are also eligible to apply for the Economic Injury Disaster Loan (EIDL) program. Visit SBA’s comprehensive [COVID-19 support website](https://www.sba.gov/page/coronavirus-covid-19-small-business-guidance-loan-resources#section-header-4%20.) to find out more about SBA’s eligibility requirements for each program.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How do I reach SBA for any questions or assistance?	SBA has district offices in California that are open to answer questions. You can use the [SBA’s Local Assistance Directory](https://www.sba.gov/local-assistance) to locate the office nearest you. You can also contact the SBA by phone at [1-800-659-2955](tel:1-800-659-2955) / [1-800-877-8339](tel:1-800-877-8339) (TTY), or by email at [disastercustomerservice@sba.gov](mailto:disastercustomerservice@sba.gov).  \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How does a small business know which SBA loan or loan guarantee program is the right one? Can a small business apply to more than one?	Call or email the SBA to find out which program is right for you. While businesses can apply for and receive more than one form of capital assistance through the SBA, they cannot be used for the same purpose. The SBA can advise you on your options. Call [1-800-659-2955](tel:1-800-659-2955) / [1-800-877-8339](tel:1-800-877-8339) (TTY), or email [disastercustomerservice@sba.gov](mailto:disastercustomerservice@sba.gov).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How do I get SBA to cover my loan payments on my existing 7(a), 504, or microloan if I cannot pay due to COVID-19?	SBA has a [Debt Relief program](https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/sba-debt-relief) and will pay the principal and interest of existing SBA loans. Please contact your lender for information.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
If I need help to figure out which program is best for me or to submit an application, where can I find support?	California’s network of small business support centers can help you figure out which loans and programs are best for your business, develop resiliency strategies, and find other resources. Go to California’s [small business centers](https://business.ca.gov/advantages/small-business-innovation-and-entrepreneurship/how-we-can-help/covid-19-resources-map/) to find the closest center.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How do I maintain a safe workplace?	As California reopens, every business will need to create a safer, low-risk environment. If you own or manage a business, follow the [industry-specific guidance](https://covid19.ca.gov/industry-guidance/) that applies to protect your workers and customers.\n\nIf your business is approved to reopen, you should take steps to ensure the safety and health of your workers. It’s important that employees with COVID-19 know they should stay home. Your sick leave policies need to support that. \n\n*   Encourage sick employees to stay home if they are sick. See government programs supporting [COVID-19 sick leave](https://www.dir.ca.gov/dlse/Comparison-COVID-19-Paid-Leave.html) and [workers’ compensation](https://www.labor.ca.gov/coronavirus2019/#chart).\n*   Establish routine cleaning throughout the workplace.\n*   Reduce travel. If possible, encourage video conferencing and limit larger gatherings.\n*   See [Cal/OSHA interim guidelines for general industry](https://www.dir.ca.gov/dosh/coronavirus/General-Industry.html).\n*   Follow [CDC guidance on keeping the workplace safe (PDF)](https://www.cdc.gov/coronavirus/2019-ncov/downloads/workplace-school-and-home-guidance.pdf).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Should a business owner notify customers if an employee has been exposed to COVID-19?	The business owner isn’t required to notify customers if an employee was exposed to COVID-19. The local health department will use contact tracing to notify those who were in close contact with the COVID-19 positive worker.\n\nWhen an employer discovers a worker who has tested positive or has symptoms of COVID-19, the employer should:\n\n*   make sure the worker does not remain at work, and\n*   work with the local health department to support isolation or quarantine, testing, and about when the worker may return to work. \n\nEmployers must follow the [Employer playbook](https://files.covid19.ca.gov/pdf/employer-playbook-for-safe-reopening--en.pdf) which includes detailed information on:\n\n*   When and how an employer must report a COVID-19 positive employee.\n*   What is defined as an outbreak.\n*   Notifying all workers who may have been exposed to the worker with COVID-19. This is especially important for those with high-risk medical conditions (e.g., immune compromise or pregnancy).\n*   Guidance for employers who may be considering whether to suspend operations due to COVID-19 spread in the workplace.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What precautions should healthcare workers and organizations take?	See [Cal/OSHA’s guidance on protecting workers from coronavirus](https://www.dir.ca.gov/dosh/coronavirus/Health-Care-General-Industry.html).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How can I avoid laying off employees if my business is impacted by COVID-19?	Apply for the [Unemployment Insurance (UI) Work Sharing Program](https://www.edd.ca.gov/Unemployment/Work_Sharing_Program.htm).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)<!-- workshare, furlough, reduce hours -->	https://covid19.ca.gov/business-and-employers/
What if a provider says they have availability on MyChildCare.ca.gov but when I connect with them they have no space?	The information on [MyChildCare.ca.gov](http://mychildcare.ca.gov/) will be updated twice each week but it is possible that vacancies are filled between updates. Contact your [local childcare resource and referral agency](http://rrnetwork.org/family-services/find-child-care) to find more vacancies. \n\nMore info: [Find childcare options near you](https://covid19.ca.gov/childcare/)	https://covid19.ca.gov/childcare/
How can I find out more about the provider listed in MyChildCare.ca.gov?	[MyChildCare.ca.gov](http://mychildcare.ca.gov/) includes each provider’s facility/license number. This number can be searched at [CDSS Community Care Licensing Database](https://www.ccld.dss.ca.gov/carefacilitysearch/) to find more information about the provider, like information on inspections and complaints.  \n\nMore info: [Find childcare options near you](https://covid19.ca.gov/childcare/)	https://covid19.ca.gov/childcare/
How can I find help paying for childcare?	[MyChildCare.ca.gov](http://mychildcare.ca.gov/) provides information on all licensed center-based and family childcare homes. This includes both private-pay and subsidized childcare. Children of essential workers are now eligible to enroll in subsidized emergency childcare through June 30, 2020, or 60 calendar days after the date of the child’s enrollment, whichever is longer. This is subject to capacity and eligibility requirements. Your [local childcare resource and referral agency](https://rrnetwork.org/index.php?p=family-services/find-child-care) can answer more questions about childcare subsidies.\n\nMore info: [Find childcare options near you](https://covid19.ca.gov/childcare/)<!-- child care, childcare, daycare, day care -->	https://covid19.ca.gov/childcare/
Can I get childcare during the stay home order?	Yes, all childcare facilities can open with necessary modifications.\n\nMore info: [Find childcare options near you](https://covid19.ca.gov/childcare/)<!-- child care, childcare, daycare, day care -->	https://covid19.ca.gov/childcare/
Can my babysitter still come to the house?	Yes, a childcare worker can come to your home if necessary and should practice basic prevention guidelines (like handwashing for at least 20 seconds, physical distancing, and staying home if feeling ill).\n\nMore info: [Find childcare options near you](https://covid19.ca.gov/childcare/)<!-- child care, childcare, daycare, day care -->	https://covid19.ca.gov/childcare/
What is a close contact?	A [close contact](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) is someone who was within 6 feet of a person with COVID-19 for at least 15 minutes starting from 2 days before symptoms appeared (or, for asymptomatic patients, 2 days prior to their test) until the time the patient is isolated. This usually includes household members, intimate contacts, and caregivers, but can include others.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Am I considered a close contact if I was wearing a mask?	Yes, you are still considered a [close contact](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) even if you were wearing a mask while you were around someone with COVID-19. Masks may offer some protection to the wearer, but are mainly meant to protect other people in case you are infected.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Will contact tracers track my location?	California’s contact tracing program does not use any cell phone tracking technology. Someone from your local public health department will simply speak privately with you. All information is confidential and protected by California’s strict privacy laws. They may stay in touch to make sure your symptoms aren’t worsening.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Is contact tracing help available in my language?	Your [local health department](https://covid19.ca.gov/get-local-information/) can communicate with you in many different languages.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Who should get tested for coronavirus?	You should get tested if you:\n\n*   Had [close contact](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) with anyone who has tested positive for COVID-19\n*   Have COVID-19 symptoms\n*   Get a call from a contact tracer\n*   Are at [high risk](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Updated-COVID-19-Testing-Guidance.aspx)\n\nFind a [testing site in your area](https://covid19.ca.gov/testing-and-treatment/).\n\nIf you think you may have been exposed, call your doctor.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
How do I find a coronavirus testing location?	To learn more about testing and care, visit the [Testing and treatment page](https://covid19.ca.gov/testing-and-treatment/). You can search for testing locations there using your zip code. \n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
What if I have COVID-19 symptoms and have not been contacted by the health department?	[Get tested](https://covid19.ca.gov/testing-and-treatment/) immediately. Contact your [local health department](https://covid19.ca.gov/get-local-information/) for contact tracing, and [isolate](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/isolation.html) yourself until:\n\n*   at least 10 days have passed since symptoms started, **AND**\n*   your fever has been gone for 24 hours without the aid of medication, **AND** \n*   your [symptoms](https://covid19.ca.gov/symptoms-and-risks/#top) (like cough and shortness of breath) have improved.\n\nThis is true whether you’ve tested positive, negative, or are untested. Read more in the [Employer Playbook for a Safe Reopening (PDF)](https://files.covid19.ca.gov/pdf/employer-playbook-for-safe-reopening--en.pdf).\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
What if I came in contact with someone who has COVID-19 symptoms, but my local health department is not aware of it?	You should [get tested](https://covid19.ca.gov/testing-and-treatment/). Contact your [local health department](https://covid19.ca.gov/get-local-information/) for contact tracing. [Quarantine](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/quarantine.html) yourself while waiting for your test results.\n\n**If you tested positive but have no symptoms**, you should [isolate](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/isolation.html) at home for at least 10 days.\n\n**If you develop symptoms**, you should stay home until:\n\n*   at least 10 days have passed since symptoms started, **AND**\n*   your fever has been gone for 24 hours without the aid of medication, **AND** \n*   your [symptoms](https://covid19.ca.gov/symptoms-and-risks/#top) (like cough and shortness of breath) have improved.\n\nThis is true whether you’ve tested positive, negative, or are untested.\n\n**If you had [close contact](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) with someone who tested positive but you tested negative**, you should still [quarantine](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/quarantine.html) at home for at least 14 days.\n\nRead more in the [Employer Playbook for a Safe Reopening (PDF)](https://files.covid19.ca.gov/pdf/employer-playbook-for-safe-reopening--en.pdf).\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
How do I become a contact tracer?	California Connected is using existing state employees for contact tracing. We appreciate offers of additional support from the private sector and qualified members of the public, but they are not needed at this time.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Is there extra sick leave available for workers who have COVID-19 symptoms or are waiting for test results?	Yes. There are extra federal, state, and in some cases, local sick leaves available for workers in this situation:\n\n*   **Federal paid sick leave:** Up to 80 hours under the Families First Coronavirus Response Act ([FFCRA](https://www.dol.gov/agencies/whd/pandemic/ffcra-employee-paid-leave)) for businesses with less than 500 workers. See [more information on FFCRA in its FAQs](https://www.dol.gov/agencies/whd/pandemic/ffcra-questions).\n*   **California COVID-19 supplemental paid sick leave:** Food businesses, healthcare providers, and emergency responders with more than 500 workers must give up to 80 hours of [paid sick leave](https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1867).\n*   **Local paid sick leave ordinances:** Certain local areas also have paid sick leave ordinances.  Consult with the local enforcement agency in your area.\n\nTo understand what may be available, see the comparison of [COVID-19 sick leave](https://www.dir.ca.gov/dlse/Comparison-COVID-19-Paid-Leave.html) and [benefits for workers impacted by COVID-19](https://www.labor.ca.gov/coronavirus2019/#chart).\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Can I return to work once my isolation or quarantine is over?	Yes, but when you return depends on your situation.\n\n**If you have symptoms**, you should stay home until:\n\n*   at least 10 days have passed since symptoms started, **AND**\n*    your fever has been gone for 24 hours without the aid of medication, **AND** \n*   your [symptoms](https://covid19.ca.gov/symptoms-and-risks/#top) (like cough and shortness of breath) have improved.\n\nThis is true whether you’ve tested positive, negative, or are untested.\n\n**If you have tested positive but have no symptoms**, you should [isolate](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/isolation.html) at home for at least 10 days.\n\n**If you had [close contact](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) with someone who tested positive but you have tested negative**, you should still [quarantine](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/quarantine.html) at home for at least 14 days.\n\nGet tested as soon as possible if you have symptoms, or have come in contact with someone who has tested positive or has symptoms.\n\nRead more in the [Employer Playbook for a Safe Reopening (PDF)](https://files.covid19.ca.gov/pdf/employer-playbook-for-safe-reopening--en.pdf).\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
What steps are required when a business has an employee who tests positive?	If an employer discovers a worker has tested positive for COVID-19 or has symptoms:\n\n*   Send the worker home\n*   Let them know about sick leave available through law and company policy\n*   [Follow guidance](https://files.covid19.ca.gov/pdf/employer-playbook-for-safe-reopening--en.pdf) about isolation, quarantine, testing, and when the worker should return to work\n*   Inform other workers who may have been exposed and provide:\n    *   Healthcare consultations about their potential exposure\n    *   Instructions on getting tested\n    *   Information about isolation, quarantine, and symptoms\n*   Keep the identities of people with suspected or confirmed cases confidential\n*   Provide sick leave policies that let sick workers stay home without penalty\n*   Make workers aware of leave policies\n\nEmployers must report COVID-19 cases to local health departments (LHD) if:\n\n*   They have three or more confirmed cases in two weeks\n*   They are not a healthcare provider\n*   The cases were not in a residential setting\n\nEmployers must report cases to the LHD where the employer is located and the LHD where the workers live. Employers must provide LHDs with:\n\n*   A list of all workers at the site\n*   Information about workers with confirmed cases:\n    *   Job titles\n    *   Work areas\n    *   [Close contacts](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) with other employees\n    *   Date symptoms began\n    *   Shifts worked while infectious\n\nLHDs may ask for more information about workers with COVID, including their:\n\n*   Job description\n*   Location\n*   Work schedule\n*   City and county of residence\n\nFor more information about employer requirements, including cleaning and disinfection, see [Responding to COVID-19 in the Workplace for Employers (PDF)](https://files.covid19.ca.gov/pdf/responding-to-covid19-workplace--en.pdf).\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Can people who recover from COVID-19 be re-infected?	We don’t yet know. The duration of immunity to coronavirus infection is not yet understood. Patients infected with similar viruses are unlikely to be re-infected in the months after they recover. But we don’t yet know if  similar immune protection happens in patients with COVID-19.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
Who needs to quarantine?	You should [quarantine](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/quarantine.html) if you have had close contact with someone who has COVID-19. If you tested positive for COVID-19 in the 3 months prior to the close contact but do not currently have symptoms, you do not need to quarantine or be tested again. If you develop symptoms, you may need to quarantine and be tested again.\n\nYou have had [close contact](https://www.cdc.gov/coronavirus/2019-ncov/php/contact-tracing/contact-tracing-plan/appendix.html#contact) if:\n\n*   You were within 6 feet of someone who has COVID-19 for 15 minutes or more\n*   You provided care at home to someone who is sick with COVID-19\n*   You had direct physical contact with the person (hugging or kissing them)\n*   You shared eating or drinking utensils\n*   They sneezed, coughed, or somehow got respiratory droplets on you\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
How do I apply for a contact tracer position?	California Connected is using existing state employees for contact tracing. We appreciate offers of additional support from the private sector and qualified members of the public, but they are not needed at this time.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
How do I sign-up for a contact tracer position?	California Connected is using existing state employees for contact tracing. We appreciate offers of additional support from the private sector and qualified members of the public, but they are not needed at this time.\n\nMore info: [Contact tracing](https://covid19.ca.gov/contact-tracing/)	https://covid19.ca.gov/contact-tracing/
What action is the state taking to ensure all schools are providing meaningful instruction during the pandemic whether they are physically open or closed?	*   California has made $5.3 billion in investments to support safe reopening and rigorous distance learning.\n*   Funds prioritize low-income students, English language learners, and special education students.\n\nMore info: [Education](https://covid19.ca.gov/education/)	https://covid19.ca.gov/education/
What determines whether schools are conducting in-person learning or distance learning?	Using health data, schools can reopen for in-person instruction once their county has been in the Substantial (red) tier for at least two weeks. Schools must follow the **[Blueprint for a Safer Economy](https://covid19.ca.gov/safer-economy)** to reopen or if they have to close again.\n\nMore info: [Education](https://covid19.ca.gov/education/)	https://covid19.ca.gov/education/
What are the health and safety requirements for schools doing in-person learning?	*   Everyone entering the school must do daily health checks.\n*   If someone experiences symptoms while at school, they will be sent home.\n*   Masks are required for all staff and students 3rd grade and above. Younger students should be encouraged to wear masks.\n*   Staff members must maintain 6ft distance from each other and students. Students should maintain 6ft distance as practicable.\n\nMore info: [Education](https://covid19.ca.gov/education/)	https://covid19.ca.gov/education/
What happens if someone gets COVID-19 at my child’s school?	*   A classroom goes home when there is a confirmed case\n*   A school should switch to distance learning when there are multiple positive cases in multiple classroom cohorts\n*   A district should switch to distance learning if 25% of schools in the district are closed within a 14-day period\n\nMore info: [Education](https://covid19.ca.gov/education/)	https://covid19.ca.gov/education/
If my child’s school is engaged in distance learning, what should I expect?	*   New statewide requirements include:\n    *   Access to devices and connectivity for all students\n    *   Daily live interaction with teachers and other students\n    *   Classes and assignments that are challenging and are equivalent to in-person instruction\n    *   Special requirements for English language learners and special education students\n\nMore info: [Education](https://covid19.ca.gov/education/)	https://covid19.ca.gov/education/
My school provides free grab-and-go meals. Are those still available?	Yes. It is essential to keep children fed. Check with your local school district for days and times meals are offered.\n\nMore info: [Education](https://covid19.ca.gov/education/)	https://covid19.ca.gov/education/
