Question,Current Answer,Proposed revised question,Proposed revised answer for Quick answer ,potential tags,Suggested changes,Content captain,"Content type (accordion, other)",Comments,Source,Page Links,Revised (Y/N),Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId
How do I vote?,"Elections are an essential activity, and the [Governor has issued executive orders to ensure elections are safe and accessible](https://www.gov.ca.gov/2020/05/08/governor-newsom-issues-executive-order-to-protect-public-health-by-mailing-every-registered-voter-a-ballot-ahead-of-the-november-general-election/). Vote-by-mail ballots will be sent to all registered voters for the November 3, 2020 General Election. The Secretary of State and the California Department of Public Health are working on additional guidance to ensure that all Californians are able to participate in elections safely. Existing laws address the use of vote-by-mail ballots in California elections, and those laws remain in effect unless otherwise noted.\n\nOf course, whenever you engage in any permissible activity—including the collection and drop-off of ballots, or other election-related activities—be mindful of physical distancing and other measures to protect yourself and those around you.",,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],95
Can I practice my religious faith?,"Yes. Practicing your faith is a constitutionally-protected activity and may manifest in many different forms.\n\nAlthough in-person religious gatherings—like other in-person gatherings—have been restricted to prevent the transmission of COVID-19, on May 25, 2020, the State Public Health Officer  began to ease restrictions on in-person religious gatherings. In particular, the State Public Health Officer now authorizes County Departments of Public Health to allow collective activities at places of worship, subject to conditions to support a safe, clean environment for employees, interns and trainees, volunteers, scholars, and all other types of workers as well as congregants, worshippers, and visitors.",,,"church, worship, religion, religious, faith, gathering",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],96
What conditions must be met to resume religious services at places of worship?,"Full information on conditions imposed by the state can be found at[ guidance for places of worship.](https://covid19.ca.gov/pdf/guidance-places-of-worship.pdf) Additionally conditions may be imposed by local public health officials. This guidance does not obligate places of worship to resume in-person activity and it is strongly recommended that places of worship continue to facilitate remote services and other alternatives to in-person religious practice for those who are vulnerable to COVID19.\n\nEven with adherence to physical distancing, convening in a congregational setting of multiple different households to practice a personal faith carries a higher risk of widespread transmission of COVID-19, and may result in increased rates of infection, hospitalization, and death, especially among more vulnerable populations. In particular, activities like singing and group recitation dramatically increase the risk of COVID-19 transmission. For this reason, congregants engaging in singing, particularly in the choir, and group recitation should wear face coverings at all times.\n\nPlaces of worship must therefore limit attendance to 25% of building capacity or a maximum of 100 attendees, whichever is lower. This limitation will be in effect for the first 21-days of a county public health department’s approval of religious services and cultural ceremonies activities at places of worship within their jurisdictions.",,,"church, worship, religion, religious, faith, gathering",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],97
Can children attend group activities (like Sunday school or Hebrew school) at places of worship?,"At this time, no.  Children should remain in the care of those in their household unit and not interact with children of other parties at all times while visiting facilities. Additionally, places of worship must discontinue activities and services for children (including, for example, shared play areas) where physical distancing of at least six feet cannot be maintained.",,,"Sunday school, church, worship, religion, religious, faith, gathering",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],98
When will these conditions change for places of worship?,"Every 21 days, the California Department of Public Health, in consultation with county Departments of Public Health, will review and assess the impacts of these imposed limits on public health and provide further direction as part of a phased-in restoration of activities in places of worship. This is because COVID-19 has an incubation period of 14 days; the 21-day interval accounts for this incubation period and provides for an additional seven days for thorough review, analysis, and preparation of modifications.",When will the limits for places of worship be lifted?,,"church, worship, religion, religious, faith, gathering",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],99
Do I need to pay my taxes?,"Yes, [state](https://www.ftb.ca.gov/about-ftb/newsroom/news-releases/2020-3-state-postpones-tax-deadlines-until-july-15-due-to-the-covid-19-pandemic.html) and [federal](https://www.irs.gov/newsroom/tax-day-now-july-15-treasury-irs-extend-filing-deadline-and-federal-tax-payments-regardless-of-amount-owed) deadlines have been extended and are now due on July 15. \n\n### Schools and childcare",removed from page,removed from page,NA,NA,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],100
My school is providing free grab-and-go meals. Are those still available?,Yes. It is essential to keep children fed and educated.,Are schools still open for free grab-and-go lunches?,Yes. Check with your local school district for times and dates schools are open to pick up grab-and-go lunches,"school, child, children, food, meals, learning",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],101
Can I get child care during the stay home order?,"Yes, all child care facilities can open with necessary modifications. See the [Child care page](https://covid19.ca.gov/childcare/).",,,"child, child care, day care, babysitting",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],102
Can my babysitter still come to the house?,"Yes, a child care worker can come to your home if necessary and should adhere to basic prevention guidelines (e.g. handwashing for at least 20 seconds, physical distancing, staying home if feeling ill).",,,"child, child care, day care, babysitting",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],103
What if I need to visit a health care provider?,"If you have [coronavirus symptoms](https://covid19.ca.gov/symptoms-and-risks/#top), please contact your doctor through [telehealth](https://covid19.ca.gov/telehealth/) or use the [Symptom Screener](https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fsymptoms-testing%2Findex.html) self-checker.\n\nIf you have other illnesses or chronic conditions, use [telehealth](https://covid19.ca.gov/telehealth/) to get care from home.\n\nIf you need to go to the hospital, call ahead so they can prepare for your arrival. If you need to call 911, tell the 911 operator the exact symptoms you are experiencing so the ambulance provider can prepare to treat you safely.",What if I need to visit my doctor or health care provider?,,"health care, healthcare, provider, doctor, appointment",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],104
"What about routine, elective or non-urgent medical appointments?","Preventive care services and non-emergency surgeries, like organ replacements and tumor removals, can take place if hospitals have enough capacity and protective equipment to do so safely. Eye exams and elective procedures should be cancelled or rescheduled. If possible, health care visits should be done remotely. Dental services and preventive dental care may be resumed. Contact your doctor through [telehealth](https://covid19.ca.gov/telehealth/) to see what services they are providing.","What if I need to visit my doctor for a routine, elective, or non-urgent appointment?",,"health care, healthcare, provider, doctor, appointment",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],105
Can I get my prescriptions filled?,Yes. You may leave your home to obtain prescription medications or cannabis from dispensaries with medical permits.\n\nYou can contact your doctor through [telehealth](https://covid19.ca.gov/telehealth/) to get a new prescription or adjust your existing prescriptions.,Can I leave my house to get my perscriptions filled?,,"health care, healthcare, provider, doctor, prescription, RX, cannabis, medical cannabis",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],106
How can I make sure the older Californians in my life are safe and healthy during the stay home order?,"You should check in on your older neighbors and loved ones with a call, text or physically distanced door knock to make sure they are okay. You can also teach them how to FaceTime, Zoom, Google Duo or use Facebook video to communicate. The most important thing you can do is to keep in touch with older loved ones for their mental health and safety.",,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],107
I am an older Californian who is isolating at home and I need non-urgent assistance. What can I do?,"You can call the statewide hotline for older Californians at [833-544-2374](tel:1-833-544-2374) for your non-urgent medical needs, to get meals delivered, track down prescriptions and more. The most important thing you can do is stay home for your health and wellbeing. If you are experiencing an emergency please call 911.",,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],108
Can I leave home to care for my elderly parents or friends who require assistance to care for themselves? Or a friend or family member who has disabilities?,"Yes. Be sure that you protect them and yourself by following social distancing guidelines such as washing hands before and after, using hand sanitizer, maintaining at least six feet of distance when possible, and coughing or sneezing into your elbow or a tissue and then washing your hands. If you have early signs of a cold, please stay away from your older loved ones.",Can I leave my home to care for a family member or friend that can not care for themselves or has a disability?,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],109
"Can I visit loved ones in the hospital, nursing home, skilled nursing facility, or other residential care facility?","Generally no. There are limited exceptions, such as if you are going to the hospital with a minor who is under 18 or someone who is developmentally disabled and needs assistance. For most other situations, the order prohibits visitation to these kinds of facilities. This is difficult, but necessary to protect hospital staff and other patients. Check the [frequently asked questions for friends and family with a loved one in a skilled nursing or residential care facility](https://www.aging.ca.gov/download.ashx?lE0rcNUV0zaaXLD5JZ%2f6Uw%3d%3d) for more detailed information.\n\n### Outdoor recreation",,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],110
Can I still exercise? Take my kids to the park for fresh air? Take a walk around the block?,"It’s okay to go outside to go for a walk, to exercise, and participate in healthy activities as long as you **maintain a safe physical distance of six feet and gather only with members of your household.** Below is a list of some outdoor recreational activities.\n\n*Parks may be closed to help slow the spread of the virus. Check with local officials about park closures in your area. Californians should not travel significant distances and should stay close to home.\n\n*   Athletics\n\n*   Badminton (singles)\n\n*   Throwing a baseball/softball\n\n*   BMX biking\n\n*   Canoeing (singles)\n\n*   Crabbing\n\n*   Cycling\n\n*   Exploring rock pools\n\n*   Gardening (not in groups)\n\n*   Golfing (singles, with carts)\n\n*   Hiking (trails/ paths allowing distancing)\n\n*   Horse riding (singles)\n\n*   Jogging and running\n\n*   Kite boarding and kitesurfing\n\n*   Meditation\n\n*   Outdoor photography\n\n*   Picnics (with your household members only)\n\n*   Quad biking\n\n*   Rock climbing\n\n*   Roller skating and rollerblading\n\n*   Rowing (singles)\n\n*   Scootering (not in groups)\n\n*   Skateboarding (not in groups)\n\n*   Soft martial arts – tai chi, chi kung (not in groups)\n\n*   Surfing\n\n*   Tennis and table tennis (singles)\n\n*   Throwing a football, kicking a soccer ball (not in groups)\n\n*   Trail running\n\n*   Trampolining\n\n*   Tree climbing\n\n*   Volleyball (singles)\n\n*   Walk the dog\n\n*   Wash the car\n\n*   Watch the sunrise or sunset\n\n*   Yoga",,,"exercise, park, ",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],111
Can I walk my dog? Take my pet to the vet?,You can walk your dog. You can go to the vet or pet hospital if your pet is sick. Remember to distance yourself at least six feet from other pets and owners.,,,"pet, pets, vet, veternarian, ",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],112
Can I visit State Parks? What outdoor spaces are open?,"State Parks, campgrounds, museums, and visitor centers have been closed to help slow the spread of the virus. A list of all closures can be found at [www.parks.ca.gov/flattenthecurve](https://urldefense.proofpoint.com/v2/url?u=http-3A__www.parks.ca.gov_flattenthecurve&d=DwMGaQ&c=Lr0a7ed3egkbwePCNW4ROg&r=yRsi0eKVK6Khc58oFC32XROAJ-JqVGBGabDv9P6148k&m=_fPxTmPUxMvOIT4dV-3Qeb4cjflv8ev1xNzeyjEJEu8&s=vM7KqvLoqg2j3Owj0qT1KhF7RlcZWasPwWAbbnYfiGo&e=). See a list of outdoor spaces that are open on the [Public recreation](https://covid19.ca.gov/public-recreation) page.\n\nYou can walk, run, hike and bike in your local neighborhoods as long as they continue to practice social distancing of 6 feet. This means avoiding crowded trails & parking lots. Californians should not travel significant distances and should stay close to home.\n\nFor information on National Parks, please the [National Park Service website](https://www.nps.gov/aboutus/news/public-health-update.htm).\n\n### Government services",,,"state parks, state park, outdoors, exercise, recreation, beach, outdoor, go out",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],113
Can I go to the Department of Motor Vehicles (DMV)?,"Starting May 8, [25 select DMV offices](https://www.dmv.ca.gov/portal/dmv/detail/pubs/newsrel/2020/2020_19) are open to the public to help with appointments that require an in-person visit. You will be required to wear a cloth mask and must remain 6 feet apart in line. In-person appointments are limited to:\n\n*   Paying registration for a vehicle impounded because of registration-related issues\n\n*   Reinstating a suspended or revoked driver license\n\n*   Applying for a reduced-fee or no-fee identification card\n\n*   Processing commercial driver license transactions\n\n*   Applying for a disabled person parking placards\n\n*   Adding an ambulance certificate or firefighter endorsement to a driver license\n\n*   Verifying a transit training document to drive a transit bus\n\n*   Processing DMV Express customers for REAL ID transactions, if time and space allows\n\nDMV services that do not require an in-person office visit can be accessed through the [DMV Virtual Field Office](https://virtual.dmv.ca.gov/), including driver’s license renewals, vehicle registrations, title changes, and more.\n\nDMV has extended deadlines for:\n\n*   All drivers licenses expiring between March 1 through May 31, 2020\n\n    *   Drivers 70 years of age and older will receive a 120-day paper extension\n\n    *   Drivers 69 years of age and younger can request a free temporary [extension online](https://virtual.dmv.ca.gov/temporary-driver-license-request/)\n\n*   Expiring commercial licenses, endorsements, and certificates are valid through June 30, 2020\n\n*   In-person renewals for vehicle registrations that expire between the dates of March 16, 2020, and May 31, 2020.\n\n*   In-person renewals for those with safe driving records whose last DMV visit was 15 years ago",,,"DMV, government, government offices, ",,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],114
Should I use cloth face coverings or masks to protect against COVID-19?,"Yes,  when you must leave home to conduct activities permitted under the current roadmap stage, you should wear a cloth face covering or mask. The California Department of Public Health (CDPH) has released [Guidance on Use of Cloth Face Coverings](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Face-Coverings-Guidance.aspx).\n\nThe cloth face coverings recommended are **not **medical grade respirators, such as N95 and surgical masks.\n\nThe guidance reminds Californians that the best defense against COVID-19 continues to be: \n\n*   Staying at home and physical distancing \n\n*   Washing hands frequently\n\n*   Avoiding touching eyes, nose and mouth with unwashed hands\n\n*   Avoiding being around people with COVID-19 symptoms\n\nThe use of cloth face coverings could reduce the transmission of COVID-19 by individuals who do not have symptoms and may reinforce physical distancing.",N/A,N/A,"Cloth face covering, Mask, PPE",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],115
What is a cloth face covering?,"A cloth face covering is [material that covers the nose and mouth](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html). It can be secured to the head with ties or straps or simply wrapped around the lower face. It can be made of a variety of materials, such as cotton, silk, or linen. A cloth face covering may be factory-made or sewn by hand, or can be improvised from household items such as scarfs, T-shirts, sweatshirts, or towels.",N/A,N/A,"Cloth face covering, Mask, PPE",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],116
How should I care for a cloth face covering?,"It’s a good idea to [wash your cloth face covering](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html) frequently, ideally after each use. Have a bag or bin to keep cloth face coverings in until they can be laundered with detergent and hot water and dried on a hot cycle. If you must re-wear your cloth face covering before washing, wash your hands immediately after putting it back on and avoid touching your face. Discard cloth face coverings that:\n\n*   No longer cover the nose and mouth\n\n*   Have stretched out or damaged ties or straps\n\n*   Cannot stay on the face\n\n*   Have holes or tears in the fabric \n\n## **Insurance & cost**",N/A,N/A,"Cloth face covering, Mask, PPE",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],117
What if I don’t have health insurance and I need screening or treatment for COVID-19?,*   Check with your local [community health center](https://findahealthcenter.hrsa.gov/) or hospital to see if fees for testing can be waived\n\n*   See if you’re eligible for [Medi-Cal](https://www.dhcs.ca.gov/services/medi-cal/Pages/DoYouQualifyForMedi-Cal.aspx)\n\n*   See if you’re eligible for [Covered California](https://www.coveredca.com/),"What if I don’t have health insurance and I need screening, testing & treatment for COVID-19?",You can check your symptoms by using the free Symptom Screener Self-Checker and get free testing through Verily's Project Baseline or OptumServe.,"Insurance, Coverage, Benefit",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],118
"I want to get screened or tested for COVID-19. I have insurance, but what will this cost me out-of-pocket?","It should be free. The state agencies that regulate health care in California have mandated that all full-service insurance plans (including Medi-Cal) waive copayments, coinsurance, and deductibles for medically necessary screening and testing for COVID-19. This includes emergency room, urgent care, or provider office visits when the purpose of the visit is to be screened and tested for COVID-19.",N/A,"Nothing. You can check your symptoms using the Symptom Screener or by contacting your doctor through telehealth. Virul testing for COVID-19 is covered by insurance, medicare, medi-cal, or state.","Insurance, Med-Cal, Medicare, Coverage, Benefit",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],119
I have a concern or complaint about getting care for COVID-19 under my health insurance. What can I do?,"If you are having trouble accessing care, or were inappropriately charged cost-sharing for medically necessary screening and testing for COVID-19, follow up directly with your health plan by calling the member phone number listed on your health plan card. If your health plan doesn’t resolve the issue, contact the [California Department of Managed Health ](https://www.healthhelp.ca.gov/)[Care](https://github.com/cagov/covid19/issues/www.HealthHelp.ca.gov) (DMHC) Help Center for assistance at 1-888-466-2219.",N/A,N/A,"Insurance, Med-Cal, Medicare, Coverage, Benefit",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],120
Do Medicare or Medicare Advantage Plans cover coronavirus tests or coronavirus antibody tests?,"Yes. Both [Medicare](https://www.medicare.gov/medicare-coronavirus) and [Medicare Advantage Plans](https://www.medicare.gov/sign-up-change-plans/types-of-medicare-health-plans/medicare-advantage-plans) cover [coronavirus tests](https://www.medicare.gov/coverage/coronavirus-disease-2019-covid-19-tests) and [antibody ](https://www.medicare.gov/coverage/coronavirus-disease-2019-covid-19-antibody-test)tests, with no out-of-pocket costs.",N/A,N/A,"Insurance, Medicare, Medicare Advantage Plans, Coverage, Benefit",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],121
Can I use telehealth if I am on Medicare?,"Yes. Medicare has temporarily expanded its coverage of [telehealth services (medical care via phone, video chat, or online portal)](https://www.medicare.gov/coverage/telehealth) to respond to the current Public Health Emergency. You can now use a wide range of communication tools (including smartphone) from home to interact with a range of providers, like doctors, nurse practitioners, clinical psychologists, licensed clinical social workers, physical therapists, occupational therapists, and speech language pathologists. If you have original Medicare, you can get many services without a copayment through [telehealth,](https://covid19.ca.gov/telehealth/) including evaluation and management visits (common office visits), mental health counseling, and preventive health screenings.\n\nIf you have a [Medicare Advantage Plan](https://www.medicare.gov/sign-up-change-plans/types-of-medicare-health-plans/medicare-advantage-plans), you have access to these same benefits. Many plans offer additional [telehealth](https://covid19.ca.gov/telehealth/) benefits and expanded benefits, like meal delivery or medical transport services. Check with your plan about your coverage and costs.\n\n## **Information for healthy living**",N/A,N/A,"Telehealth, Telemedicine, Insurance, Medicare, Medicare Advantage Plans, Coverage, Benefit",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],122
I am nervous or scared. What can I do?,You are not alone. The California Surgeon General released [two playbooks for managing stress](https://covid19.ca.gov/manage-stress-for-health/#top) and tips for care-givers and kids. If you feel like you need to talk to someone and want emotional support see this [list of resources](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/#top).,N/A,N/A,"Mental health, Managing stress, Emotional Support",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],123
"My safety net eligibility (like CalFresh, Medi-Cal) is expiring and I am under the statewide shelter in place order for COVID-19. Do I need to renew my eligibility now?","**No, you will not need to renew for 90 days.** Governor Gavin Newsom issued an [executive order](https://www.gov.ca.gov/2020/03/18/governor-newsom-issues-executive-order-to-protect-ongoing-safety-net-services-for-most-vulnerable-californians-during-covid-19-outbreak/) to ensure that health care, food assistance, and in-home supportive services continue during the COVID-19 outbreak.\n\nThe order waives eligibility re-determinations for 90 days for participants in:\n\n*   Medi-Cal health coverage\n\n*   CalFresh food assistance\n\n*   CalWORKs\n\n*   Cash Assistance for Immigrants\n\n*   In-Home Supportive Services",N/A,N/A,"Safety net, Medi-Cal, CalFresh, CalWORKs, Immigrants, Supportive Services",,Karim,,,,,,https://covid19.ca.gov/healthcare/,,[],FALSE,[],124
What do taxpayers need to do if they want to take advantage of relief from the California Department of Tax and Fee Administration?,Interested taxpayers should contact CDTFA by visiting the [CDTFA website](http://cdtfa.ca.gov/) or calling [800-400-7115](tel:[800-400-7115]).,,,tax relief,,liz,,,,,,https://covid19.ca.gov/business-and-employers/,,[],FALSE,[],125
When will taxpayers start on these payment plans?,"Given that the April deadline to file and pay sales and use tax returns has been extended to late July for all but the largest taxpayers, CDTFA expects that most participating taxpayers will begin their payment arrangements in late July of this year.",,,"tax relief, sales, use, use tax, ",,liz,,,,,,https://covid19.ca.gov/business-and-employers/,,[],FALSE,[],126
How will the payment plans work?,"Qualifying sales and use taxpayers with deferred liabilities up to $50,000 will pay their tax due in 12 equal monthly installments. No interest or penalties will be assessed against the liability.",,,,,liz,,,,,,https://covid19.ca.gov/business-and-employers/,,[],FALSE,[],127
Is this only for tax payments due for the 1st quarter of 2020?,"If taxpayers choose to use this program to distribute the burden of their May or June prepayments or their July return, CDTFA will work to accommodate those taxpayers.",,,,,liz,,,,,,https://covid19.ca.gov/business-and-employers/,,[],FALSE,[],128
"What if taxpayers owe more than the $50,000 limit on the relief?","The maximum amount that any taxpayer can defer interest-free under this relief effort is $50,000.",,,,,liz,,,,,,https://covid19.ca.gov/business-and-employers/,,[],FALSE,[],129
What if taxpayers with more than $5 million in annual taxable sales need this relief?,"We recognize that some taxpayers, particularly in low margin businesses, with annual taxable sales over $5 million may also need this relief. Those taxpayers are encouraged to reach out to CDTFA, which will work with them to provide relief where appropriate.",,,,,liz,,,,,,https://covid19.ca.gov/business-and-employers/,,[],FALSE,[],130
